 
Title:,"Figure 3.2. Economic losses from climatological, meteorological and hydrological disasters"
Subtitle:," "
 


Left Y Axis:,"2014 Billion USD"
Right Y Axis:,"2014 Billion USD"
"Date","OECD","World"
1980,12.90129361,16.96248195
1981,21.273988,28.2890892
1982,10.33938354,20.19176996
1983,21.67808544,33.09828164
1984,9.392619231,18.25637388
1985,11.01340393,20.64664074
1986,9.490291679,21.027167
1987,15.84897627,24.20474068
1988,3.023731672,22.55473561
1989,23.88744947,34.04577563
1990,48.12335758,63.31793079
1991,31.86922261,56.20298357
1992,62.35517183,78.12858842
1993,37.5462934,71.47289734
1994,18.95917555,57.38260251
1995,34.88235308,74.87019476
1996,13.73128485,58.08031228
1997,23.86200886,47.35396099
1998,36.64017465,109.8569955
1999,62.02714975,92.30579588
2000,40.2529253,57.86491342
2001,13.18520119,24.821331
2002,49.41855581,61.62474916
2003,50.9015046,75.00109074
2004,91.20634939,116.2071783
2005,210.9912877,241.7000946
2006,12.60063374,34.79022125
2007,40.09366316,66.33173939
2008,69.97748454,114.4715276
2009,25.52112245,44.01512957
2010,41.75467836,89.98704216
2011,72.02301188,140.3076011
2012,111.8239292,141.9623555
2013,58.44305108,112.4520671
2014,18.612,73.044599
 
"Source: OECD (2015), Climate Change Risks and Adaptation: Linking Policy and Economics."

